time, damage, mv, attack, em, cr, cd, damage bonus, character, element, reaction, damage type, aoe
7.583, 1038.712, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
7.683, 34541.628, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
7.700, 7022.638, 2.171, 1593.366, 39.640, 0.692, 1.294,2.145,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
7.917, 479.380, 0.569, 1339.485, 900.920, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
7.917, 1038.712, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
7.900, 12013.044, 1740.624, 1339.485, 900.920, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
7.900, 2769.898, 0.800, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
8.133, 7349.013, 1.776, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.133, 7349.013, 1.776, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.667, 11516.259, 3.256, 1593.366, 39.640, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
9.700, 12013.044, 1740.624, 1339.485, 900.920, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, Reactions.HYDROSWIRL, DamageType.REACTION, True
9.883, 479.380, 0.569, 1339.485, 900.920, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
9.883, 1241.387, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.983, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
10.133, 7349.013, 1.776, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
10.200, 438.691, 0.521, 1339.485, 900.920, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
10.200, 1241.387, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
10.450, 17158.429, 1740.624, 1339.485, 900.920, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, Reactions.HYDROSWIRL, DamageType.REACTION, True
10.850, 1634.751, 4.424, 1339.485, 900.920, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.SKILL, True
10.850, 18843.434, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
10.850, 3310.366, 0.800, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.117, 1093.775, 2.960, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.BURST, True
11.117, 582.996, 0.880, 1339.485, 1081.104, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, None, DamageType.BURST, True
11.117, 18843.434, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
11.133, 7349.013, 1.776, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.467, 22938.890, 5.427, 1593.366, 269.824, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
11.683, 479.380, 0.569, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
11.683, 1241.387, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.683, 18843.434, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
11.683, 3310.366, 0.800, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.783, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
12.000, 438.691, 0.521, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
12.000, 1241.387, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
12.133, 7349.013, 1.776, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
12.717, 9175.556, 2.171, 1593.366, 269.824, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
12.933, 479.380, 0.569, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
12.933, 1241.387, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
13.033, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
13.067, 1093.775, 2.960, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.BURST, True
13.067, 582.996, 0.880, 1339.485, 1081.104, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, None, DamageType.BURST, True
13.067, 18843.434, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
13.067, 3310.366, 0.800, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
13.133, 7349.013, 1.776, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
13.250, 438.691, 0.521, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
13.250, 1241.387, 0.300, 2263.312, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
13.250, 18843.434, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
13.500, 18843.434, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, Reactions.HYDROSWIRL, DamageType.REACTION, True
14.000, 1634.751, 4.424, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.SKILL, True
14.000, 19157.059, 1740.624, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
14.967, 1515.755, 0.806, 2263.312, 305.861, 0.692, 1.294,1.000,Fischl, Element.PHYSICAL, None, DamageType.CHARGED, False
15.017, 1093.775, 2.960, 1339.485, 1117.141, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.BURST, True
15.017, 582.996, 0.880, 1339.485, 1117.141, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, None, DamageType.BURST, True
15.017, 19157.059, 1740.624, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
15.067, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
16.017, 10640.634, 4.309, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, True
16.967, 1093.775, 2.960, 1339.485, 1117.141, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.BURST, True
16.967, 513.794, 0.880, 1339.485, 1117.141, 0.249, 0.632,1.200,Sucrose, Element.HYDRO, None, DamageType.BURST, True
16.950, 31893.711, 8.832, 1870.969, 305.861, 0.692, 1.294,1.706,Beidou, Element.ELECTRO, None, DamageType.SKILL, False
16.950, 19157.059, 1740.624, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
17.000, 7349.013, 1.776, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
17.650, 13763.334, 3.256, 1593.366, 305.861, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
17.650, 22938.890, 5.427, 1593.366, 305.861, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
17.933, 2031.769, 1.306, 1870.969, 305.861, 0.692, 1.294,1.000,Beidou, Element.PHYSICAL, None, DamageType.NORMAL, False
17.933, 1241.387, 0.300, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
18.000, 7349.013, 1.776, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
18.033, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
19.000, 7349.013, 1.776, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
19.033, 2024.341, 1.302, 1870.969, 305.861, 0.692, 1.294,1.000,Beidou, Element.PHYSICAL, None, DamageType.NORMAL, False
19.033, 1241.387, 0.300, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
19.133, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
19.167, 9175.556, 2.171, 1593.366, 305.861, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
19.383, 479.380, 0.569, 1339.485, 1117.141, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
19.383, 1241.387, 0.300, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
19.383, 19157.059, 1740.624, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
19.383, 3310.366, 0.800, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
19.700, 438.691, 0.521, 1339.485, 1117.141, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
19.700, 1241.387, 0.300, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
20.000, 7349.013, 1.776, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
20.267, 13763.334, 3.256, 1593.366, 305.861, 0.692, 1.294,2.345,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
20.483, 479.380, 0.569, 1339.485, 1117.141, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
20.483, 1241.387, 0.300, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
20.483, 19157.059, 1740.624, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
20.483, 3310.366, 0.800, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
20.583, 41281.458, 9.600, 1870.969, 39.640, 0.692, 1.294,2.031,Beidou, Element.ELECTRO, None, DamageType.BURST, False
20.800, 438.691, 0.521, 1339.485, 1117.141, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
20.800, 1241.387, 0.300, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
21.000, 7349.013, 1.776, 2263.312, 305.861, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
